Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
100015	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY BAG IN BOX	421	SAZERAC COMPANY  INC	3500	3	1	0	66	10/01/2017	88004022723	10086816101923	30.00	90.00	45.00	10/01/2022
10006	SCOTCH WHISKIES	SCORESBY RARE SCOTCH	421	SAZERAC COMPANY  INC	750	12	1	0	80	04/01/1990		10088004038226	6.25	75.00	9.38	10/01/2022
100040	TEMPORARY & SPECIALTY PACKAGES	GRAND MARNIER CORDON ROUGE W/2 SHOT GLASSES	619	CAMPARI AMERICA	750	6	1	0	80	06/01/2020	721059002622	10088076183237	23.31	139.86	34.97	10/01/2022
10008	SCOTCH WHISKIES	SCORESBY RARE SCOTCH	421	SAZERAC COMPANY  INC	1750	6	1	0	80	05/01/1977	88004036225	10088004035898	11.00	66.00	16.50	10/01/2022
10009	SCOTCH WHISKIES	SCORESBY RARE SCOTCH	421	SAZERAC COMPANY  INC	1000	12	1	0	80	05/01/1990		82000766131	6.74	80.88	10.11	10/01/2022
100104	100% AGAVE TEQUILA	HERRADURA ULTRA ANEJO	085	BROWN FORMAN CORP.	750	6	1	0	80	02/01/2022	88004036225	10744607105689	29.99	179.94	44.99	10/01/2022
100077	TEMPORARY & SPECIALTY PACKAGES	KRAKEN RUM W/ TIKI GLASS	395	PROXIMO	750	6	1	0	94	09/01/2022	811538014588	10088076183237	10.45	62.70	15.68	10/01/2022
100148	TENNESSEE WHISKIES	JACK DANIELS SINGLE BARREL W/SNIFTER GLASS	085	BROWN FORMAN CORP.	750	6	1	0	94	01/01/2022	811538014588	10082184103354	27.59	165.54	41.39	10/01/2022
100202	TEMPORARY & SPECIALTY PACKAGES	BAILEYS ORIGINAL IRISH CREAM W/2 DESSERT BOWLS	260	DIAGEO AMERICAS	750	6	1	0	34	10/01/2021	80432111956	10082184103354	16.49	98.94	24.74	10/01/2022
100210	TEMPORARY & SPECIALTY PACKAGES	CLYDE MAYS DUALPACK	305	MHW LTD	750	6	1	0	85	10/01/2020	82000783664	10082184103354	20.00	120.00	30.00	10/01/2022
100215	TEMPORARY & SPECIALTY PACKAGES	TEQUILA ROSE LIQUEUR W/2 SHOT GLASSES	300	MCCORMICK DISTILLING CO.	750	6	1	0	30	08/01/2022	82000783664	10085592155359	12.50	75.00	18.75	10/01/2022
100220	COCKTAILS/RTD	TWISTED SHOTZ TRADITIONAL PARTY PACK 3.0	305	MHW LTD	2250	1	90	0	40	11/01/2021	811538019361	10766427003693	58.45	58.45	87.68	10/01/2022
100216	TEMPORARY & SPECIALTY PACKAGES	TARANTULA AZUL HOLIDAY W/2 SHOT GLASSES	300	MCCORMICK DISTILLING CO.	750	6	1	0	70	10/01/2021	811538019361	10085592155458	8.99	53.94	13.49	10/01/2022
100280	COCKTAILS/RTD	THE BITTER TRUTH COCKTAIL BAR PACK	557	WORLDWIDE LIBATIONS, LLC	20	12	5	0	78	08/01/2020	88004036225	30810255020422	9.50	114.00	14.25	10/01/2022
100248	TEMPORARY & SPECIALTY PACKAGES	MARTELL BLUE SWIFT W/ 2 GLASSES	370	PERNOD RICARD USA	750	6	1	0	80	01/01/2022	80432112250	10085592155359	20.98	125.88	31.47	10/01/2022
100306	100% AGAVE TEQUILA	PATRON EXTRA ANEJO	035	BACARDI USA INC	750	6	1	3	80	05/01/2019	80432112250	20721733003468	46.99	281.94	70.49	10/01/2022
100294	TEMPORARY & SPECIALTY PACKAGES	DEEP EDDY W/THERMOS	259	HEAVEN HILL BRANDS	750	6	1	0	80	08/01/2020	856065002226	30810255020422	9.00	54.00	13.50	10/01/2022
100413	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY PARTY BUCKET	421	SAZERAC COMPANY  INC	50	1	120	0	66	04/01/2020	811538019361	10088004034785	51.60	51.60	77.40	10/01/2022
100423	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY 100ML CARRIER	421	SAZERAC COMPANY  INC	100	8	6	0	66	09/01/2019	856065002226	10088004029217	6.00	48.00	9.00	10/01/2022
100406	TEMPORARY & SPECIALTY PACKAGES	CRYSTAL HEAD VODKA MINI W/RED BOWS	255	INFINIUM SPIRITS	2400	1	48	0	80	09/01/2020		40627040114153	215.76	215.76	323.64	10/01/2022
100433	TEMPORARY & SPECIALTY PACKAGES	SUNTORY TOKI W/HIGHBALL GLASS	065	JIM BEAM BRANDS	750	6	1	0	86	07/01/2021	812459014572	10080686957178	20.99	125.94	31.49	10/01/2022
100440	TEMPORARY & SPECIALTY PACKAGES	SKYY VODKA W/50ML INFUSION WATERMELON	619	CAMPARI AMERICA	1750	6	2	0	80	05/01/2020	812459014572	60721059017505	15.00	90.00	22.50	10/01/2022
100509	TEMPORARY & SPECIALTY PACKAGES	HYPNOTIQ W/ ROCK GLASSES	259	HEAVEN HILL BRANDS	750	6	1	0	34	08/01/2022	482022903246	20096749001068	11.00	66.00	16.50	10/01/2022
100531	TEMPORARY & SPECIALTY PACKAGES	CRYSTAL HEAD VODKA MINI PATRIOTIC PACKAGE	255	INFINIUM SPIRITS	150	18	3	0	80	09/01/2020	812459014572	30627040411651	13.49	242.82	20.24	10/01/2022
100533	TEMPORARY & SPECIALTY PACKAGES	BACARDI OCHO GIFT TUBE	035	BACARDI USA INC	750	6	1	8	80	08/01/2022	812459014572	10080480010635	15.00	90.00	22.50	10/01/2022
100535	WHISKEY LIQUEUR	FIREBALL GIFT BOX	421	SAZERAC COMPANY  INC	50	1	120	0	66	11/01/2022	88004031961	20096749001068	51.60	51.60	77.40	10/01/2022
100545	TEMPORARY & SPECIALTY PACKAGES	GREY GOOSE W/2 MARTINI GLASSES	035	BACARDI USA INC	1750	3	1	0	80	09/01/2020	856065002226	10080480985841	35.42	106.26	53.13	10/01/2022
100572	SCOTCH WHISKIES	JOHNNIE WALKER 200ML COLLECTION PACK	260	DIAGEO AMERICAS	800	6	1	0	80	12/01/2018		10088076183121	62.50	375.00	93.75	10/01/2022
100568	TEMPORARY & SPECIALTY PACKAGES	BOURBON TIME	065	JIM BEAM BRANDS	375	6	3	0	80	05/01/2021	80686000129	10080480010635	22.00	132.00	33.00	10/01/2022
100577	TEMPORARY & SPECIALTY PACKAGES	BACARDI RESERVA OCHO & DIEZ PACK	035	BACARDI USA INC	1500	3	2	0	80	11/01/2019	80686000129	10080480984219	30.72	92.16	46.08	10/01/2022
100600	TEMPORARY & SPECIALTY PACKAGES	WOODFORD RESERVE W/MINT JULEP CUP	085	BROWN FORMAN CORP.	750	6	1	0	90	02/01/2021	81128201982	10080480984219	22.49	134.94	33.74	10/01/2022
100603	TEMPORARY & SPECIALTY PACKAGES	EZRA BROOKS BOURBON CREAM W/TUMBLER	434	LUXCO INC	750	6	1	0	25	10/01/2020	856065002226	10088352133536	7.50	45.00	11.25	10/01/2022
100612	SCOTCH WHISKIES	JOHNNIE WALKER MINI DISCOVERY PACK	260	DIAGEO AMERICAS	50	12	5	0	80	12/01/2018	856065002226	10088076183237	21.50	258.00	32.25	10/01/2022
100605	TEMPORARY & SPECIALTY PACKAGES	JAMESON W/GINGER ALE	370	PERNOD RICARD USA	1750	3	1	0	80	10/01/2021	856065002226	10080432114206	28.98	86.94	43.47	10/01/2022
100617	TEMPORARY & SPECIALTY PACKAGES	MIDNIGHT MOON APPLE PIE 750ML W/100PRF 50ML	384	PIEDMONT DISTILLERS INC	750	6	2	0	70	11/01/2020	811538019361	10851767001826	11.50	69.00	17.25	10/01/2022
100618	TEMPORARY & SPECIALTY PACKAGES	CRYSTAL HEAD VODKA W/4 SKULL GLASSES	255	INFINIUM SPIRITS	750	4	1	0	80	09/01/2021	627040411643	20721733003468	27.57	110.28	41.36	10/01/2022
100619	TEMPORARY & SPECIALTY PACKAGES	DEWARS 15YR W/2 ROCK GLASSES	035	BACARDI USA INC	750	6	1	15	80	10/01/2020	811538019361	10080480985957	25.50	153.00	38.25	10/01/2022
100636	TEMPORARY & SPECIALTY PACKAGES	JIM BEAM MINI 12 SEASONS	065	JIM BEAM BRANDS	50	6	12	0	80	11/01/2021	811538019361	10080686021862	6.50	39.00	9.75	10/01/2022
100639	TEMPORARY & SPECIALTY PACKAGES	CROWN ROYAL W/NFL JERSEY BAG	260	DIAGEO AMERICAS	750	12	1	0	80	09/01/2022	87000007253	20721733003468	17.49	209.88	26.24	10/01/2022
